"ID","post_author","post_date","post_date_gmt","post_content","post_title","post_excerpt","post_status","comment_status","ping_status","post_password","post_name","to_ping","pinged","post_modified","post_modified_gmt","post_content_filtered","post_parent","guid","menu_order","post_type","post_mime_type","comment_count"
1,1,"2015-03-07 11:02:19","2015-03-07 11:02:19","Welcome to WordPress. This is your first post. Edit or delete it, then start blogging!","Hello world!","","trash","open","open","","hello-world","","","2015-03-07 15:55:57","2015-03-07 15:55:57","",0,"http://localhost/sellforce/?p=1",0,"post","",1
2,1,"2015-03-07 11:02:19","2015-03-07 11:02:19","This is an example page. It's different from a blog post because it will stay in one place and will show up in your site navigation (in most themes). Most people start with an About page that introduces them to potential site visitors. It might say something like this:

<blockquote>Hi there! I'm a bike messenger by day, aspiring actor by night, and this is my blog. I live in Los Angeles, have a great dog named Jack, and I like pi&#241;a coladas. (And gettin' caught in the rain.)</blockquote>

...or something like this:

<blockquote>The XYZ Doohickey Company was founded in 1971, and has been providing quality doohickeys to the public ever since. Located in Gotham City, XYZ employs over 2,000 people and does all kinds of awesome things for the Gotham community.</blockquote>

As a new WordPress user, you should go to <a href=\"http://localhost/sellforce/wp-admin/\">your dashboard</a> to delete this page and create new pages for your content. Have fun!","Sample Page","","trash","open","open","","sample-page","","","2015-03-07 15:55:32","2015-03-07 15:55:32","",0,"http://localhost/sellforce/?page_id=2",0,"page","",0
4,1,"2015-03-07 15:51:23","2015-03-07 15:51:23","lkjearl kjdflkja dflksjdf lsdkjf uevrbwqner w,emr lwekjrlw ejrhb kwhebr kjehr","hubbabubba!!!!","","trash","open","open","","hubbabubba","","","2015-03-07 15:57:30","2015-03-07 15:57:30","",0,"http://localhost/sellforce/?p=4",0,"post","",0
5,1,"2015-03-07 15:51:23","2015-03-07 15:51:23","lkjearl kjdflkja dflksjdf lsdkjf uevrbwqner w,emr lwekjrlw ejrhb kwhebr kjehr","hubbabubba!!!!","","inherit","open","open","","4-revision-v1","","","2015-03-07 15:51:23","2015-03-07 15:51:23","",4,"http://localhost/sellforce/4-revision-v1/",0,"revision","",0
8,1,"2015-03-07 15:55:32","2015-03-07 15:55:32","This is an example page. It's different from a blog post because it will stay in one place and will show up in your site navigation (in most themes). Most people start with an About page that introduces them to potential site visitors. It might say something like this:

<blockquote>Hi there! I'm a bike messenger by day, aspiring actor by night, and this is my blog. I live in Los Angeles, have a great dog named Jack, and I like pi&#241;a coladas. (And gettin' caught in the rain.)</blockquote>

...or something like this:

<blockquote>The XYZ Doohickey Company was founded in 1971, and has been providing quality doohickeys to the public ever since. Located in Gotham City, XYZ employs over 2,000 people and does all kinds of awesome things for the Gotham community.</blockquote>

As a new WordPress user, you should go to <a href=\"http://localhost/sellforce/wp-admin/\">your dashboard</a> to delete this page and create new pages for your content. Have fun!","Sample Page","","inherit","open","open","","2-revision-v1","","","2015-03-07 15:55:32","2015-03-07 15:55:32","",2,"http://localhost/sellforce/2-revision-v1/",0,"revision","",0
9,1,"2015-03-07 15:55:57","2015-03-07 15:55:57","Welcome to WordPress. This is your first post. Edit or delete it, then start blogging!","Hello world!","","inherit","open","open","","1-revision-v1","","","2015-03-07 15:55:57","2015-03-07 15:55:57","",1,"http://localhost/sellforce/1-revision-v1/",0,"revision","",0
10,1,"2015-03-07 15:58:00","2015-03-07 15:58:00","Detta är hemsidan och här ska det inte vara något speciellt innehåll mer än slogan och under slogan en carusell..","Hem","","publish","open","closed","","hem","","","2015-03-13 10:58:08","2015-03-13 10:58:08","",0,"http://localhost/sellforce/?page_id=10",0,"page","",0
11,1,"2015-03-07 15:58:00","2015-03-07 15:58:00","mko nji bhu vgy cft xdr zse","hubbahubbazootzoot","","inherit","open","open","","10-revision-v1","","","2015-03-07 15:58:00","2015-03-07 15:58:00","",10,"http://localhost/sellforce/10-revision-v1/",0,"revision","",0
14,1,"2015-03-07 16:28:29","2015-03-07 16:28:29","här har vi min lyckade content!!!","här har vi menyn!!!!!!!!!!!!!","","inherit","open","open","","10-revision-v1","","","2015-03-07 16:28:29","2015-03-07 16:28:29","",10,"http://localhost/sellforce/10-revision-v1/",0,"revision","",0
15,1,"2015-03-09 08:49:37","2015-03-09 08:49:37","qwertyuiop","qwertyuiop","","trash","open","open","","qwertyuiop","","","2015-03-09 10:04:30","2015-03-09 10:04:30","",0,"http://localhost/sellforce/?page_id=15",0,"page","",0
